id,industry_description,mean_exports,max_exports,no_observations,no_zeroes
1,Wheat,84.22,50955,77845,50305
2,Rice (raw),204.44,117214,63997,45094
3,Corn,78.6,106817,87885,53488
4,Other cereals,28.68,11918,81678,49366
5,Cereal products,1.13,193,39654,26564
6,Soybeans,68.96,21637,55957,36540
7,Other oilseeds (excluding peanuts),38.57,95962,160283,89937
8,Animal feed ingredients and pet foods,2.76,883,71448,43299
9,Raw and refined sugar and sugar crops,340.37,45732,10651,7503
10,Other sweeteners,2.8,1108,82972,50552
11,"Pulses and legumes, dried, preserved",9.26,13545,134352,76837
12,Fresh fruit,60.53,189855,211150,114823
13,Fresh vegetables,114.45,323976,175575,99368
14,Prepared fruits and fruit juices,0.71,235,106861,62526
15,Prepared vegetables,3.21,1717,16594,10079
16,Nuts,11.95,15018,127163,72949
17,Live Cattle,9.16,1796,31588,19813
18,Live Swine,7.88,1207,16511,9728
19,Eggs,66.85,60757,65981,42101
20,"Other meats, livestock products, and live animals",3.62,6513,173954,100797
21,Cocoa and cocoa products,9.91,1121,38609,24716
22,"Beverages, nec",5.51,10386,192290,105467
23,Cotton,20.17,27391,99474,62499
24,Tobacco leaves and cigarettes,7.04,9484,104397,62538
25,Spices,2.44,3958,186919,99077
26,"Other agricultural products, nec",7.52,11296,271908,132358
27,Mining of hard coal,126.19,445807,75090,48800
28,Mining of lignite,31.8,36894,19707,13874
29,Extraction crude petroleum and natural gas,779.5,166676,92441,61933
30,Mining of iron ores,142.48,119661,45156,30533
31,Other mining and quarring,38.54,173194,306736,154467
32,"Electricity production, collection, and distribution",1657.4,711982,21438,13061
33,Gas production and distribution,442.79,82946,17634,12996
34,Processing/preserving of meat,78.49,310942,264080,146761
35,Processing/preserving of fish,15.58,38660,304756,159213
36,Processing/preserving of fruit & vegetables,14.73,52296,333462,166554
37,Vegetable and animal oils and fats,28.28,116795,266236,138783
38,Dairy products,42.39,94969,253217,136888
39,Grain mill products,18.02,125311,270470,146590
40,Starches and starch products,6.89,36249,183214,98206
41,Prepared animal feeds,30.04,111443,169836,90475
42,Bakery products,25.36,57461,252274,131157
43,Sugar,14.56,16695,188988,110896
44,Cocoa chocolate and sugar confectionery,11.65,20310,280421,141973
45,Macaroni noodles & similar products,6.72,38863,184870,103418
46,Other food products n.e.c.,21.51,112924,374789,183580
47,Distilling rectifying & blending of spirits,14.33,69585,246847,133915
