iso3,country_name,mean_exports,max_exports,no_observations,no_zeroes
ABW,Aruba,2.58,3294,67627,52887
AFG,Afghanistan,0.38,229,112296,89008
AGO,Angola,38.51,33373,80145,61822
AIA,Anguilla,0.04,6,44262,37691
ALB,Albania,5.68,6472,134929,98000
AND,Andorra,0.12,288,124044,98825
ANT,Netherlands Antilles,1.09,926,71673,47394
ARE,United Arab Emirates,10.85,42341,373205,155148
ARG,Argentina,8.15,12186,298090,139428
ARM,Armenia,2.59,2258,109879,80495
ASM,American Samoa,0.08,83,60231,50398
ATA,Antarctica,0.16,42,13631,11807
ATF,French Southern Territories,0.08,15,11443,9895
ATG,Antigua and Barbuda,0.57,3729,107178,83528
AUS,Australia,28.45,99275,411231,151195
AUT,Austria,35.69,84077,402064,137296
AZE,Azerbaijan,20.41,20094,129709,94340
BDI,Burundi,3.55,1097,52196,42880
BEL,Belgium,45.21,121503,455415,125430
BEN,Benin,2.35,3794,84039,64793
BES,"Bonaire, Sint Eustatius and Saba",0.65,87,675,391
BFA,Burkina Faso,2.54,1547,83832,63588
BGD,Bangladesh,8.38,12596,197858,126497
BGR,Bulgaria,7.14,17112,333410,161157
BHR,Bahrain,5.28,10341,161213,109426
BHS,"Bahamas, The",4.91,2143,112764,87074
BIH,Bosnia and Herzegovina,4.03,4354,166510,104976
BLM,Saint Barthelemy,0.07,12,1151,682
BLR,Belarus,6.12,15189,182347,101477
BLZ,Belize,0.58,377,102160,81760
BMU,Bermuda,35.77,32101,52032,42293
BOL,Bolivia,3.57,3931,114868,78370
BRA,Brazil,101.38,450192,390469,145324
BRB,Barbados,0.25,380,134317,88128
BRN,Brunei,7.91,5971,80447,60768
BTN,Bhutan,1.07,130,38215,32162
BVT,Bouvet Island,0.5,74,6357,5308
BWA,Botswana,2.59,3872,103952,75654
CAF,Central African Republic,0.64,741,59182,50498
CAN,Canada,72.4,314038,447913,141673
CCK,Cocos (Keeling) Islands,0.03,5,28942,24952
CHE,Switzerland,48.73,192302,428383,136145
CHL,Chile,19.06,51055,247812,131685
CHN,China,204.82,964575,484848,90170
CIV,Cote d’Ivoire,3.54,2668,173161,114579
